Region,Course,Gender,Trainees,Placed,CompletionRate
East,Digital Literacy,Female,200,150,90
West,Data Analytics,Male,180,130,85
North,AI for Beginners,Female,150,100,80
South,Web Development,Male,220,170,95
Central,Soft Skills,Female,190,120,88
East,Digital Literacy,Female,210,160,91
West,Data Analytics,Male,175,125,83
North,AI for Beginners,Female,160,110,79
South,Web Development,Male,240,190,94
Central,Soft Skills,Female,200,150,87
East,Digital Literacy,Female,230,180,89
West,Data Analytics,Male,190,140,82
North,AI for Beginners,Female,210,160,88
South,Web Development,Male,250,210,93
Central,Soft Skills,Female,180,130,84
East,Digital Literacy,Female,220,180,90
West,Data Analytics,Male,200,155,85
North,AI for Beginners,Female,170,120,81
South,Web Development,Male,260,210,96
Central,Soft Skills,Female,240,190,89
